id,month,release_date,series,title,uploader,soundcloud_url,tracklist_url,artwork_url,soundcloud_embed_html,track_count
634,2022-04,2022-04-25,ERA,"ERA 003 Rebūke Live From Terminal V, Edinburgh",Rebūke,https://soundcloud.com/rebukemusic/era-003-rebuke-live-from-terminal-v-edinburgh,,https://i1.sndcdn.com/artworks-Nxyn0uSP7q16LFwK-VcPcbg-t500x500.jpg,"<iframe width=""100%"" height=""400"" scrolling=""no"" frameborder=""no"" allow=""autoplay; encrypted-media"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F1256396182&show_artwork=true""></iframe>",0
635,2022-04,2022-04-15,ERA,ERA 002 Rebūke Studio Mix,Rebūke,https://soundcloud.com/rebukemusic/era-002-rebuke-studio-mix,,https://i1.sndcdn.com/artworks-tZ1LCNCMIKSjWF6E-8kyDNA-t500x500.jpg,"<iframe width=""100%"" height=""400"" scrolling=""no"" frameborder=""no"" allow=""autoplay; encrypted-media"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F1250548132&show_artwork=true""></iframe>",11
636,2022-04,2022-04-07,ERA,ERA 001 Rebūke Live From Drumcode @ Space Miami,Rebūke,https://soundcloud.com/rebukemusic/rrr051-rebuke-live-from-drumcode-space-miami,"https://www.mixesdb.com/w/2022-03-24_-_Reb%C5%ABke_@_Drumcode_Miami,_Space,_Miami,_MMW_(ERA_Radio_001)",https://i1.sndcdn.com/artworks-kmgQIBdYvG5DUtbW-7c4iuA-t500x500.jpg,"<iframe width=""100%"" height=""400"" scrolling=""no"" frameborder=""no"" allow=""autoplay; encrypted-media"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F1245959377&show_artwork=true""></iframe>",0
629,2022-05,2022-05-30,ERA,"ERA 008 Rebūke Live From Era @ The Timberyard, Melbourne",Rebūke,https://soundcloud.com/rebukemusic/era-008-rebuke-live-from-era-the-timberyard-melbourne,,https://i1.sndcdn.com/artworks-CcqHFnlfEOpIt9ab-YgFTTg-t500x500.jpg,"<iframe width=""100%"" height=""400"" scrolling=""no"" frameborder=""no"" allow=""autoplay; encrypted-media"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F1277738017&show_artwork=true""></iframe>",0
630,2022-05,2022-05-23,ERA,ERA 007 Rebūke Studio Mix,Rebūke,https://soundcloud.com/rebukemusic/era-007-rebuke-studio-mix,,https://i1.sndcdn.com/artworks-QQ8bqWytwLFtzOYn-0P8QsQ-t500x500.jpg,"<iframe width=""100%"" height=""400"" scrolling=""no"" frameborder=""no"" allow=""autoplay; encrypted-media"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F1273710184&show_artwork=true""></iframe>",12
631,2022-05,2022-05-16,ERA,ERA 006 Will Clarke Studio Mix,Rebūke,https://soundcloud.com/rebukemusic/era-006-will-clarke-studio-mix,,https://i1.sndcdn.com/artworks-PTTwCf9SpIWgwyvp-z6oV3g-t500x500.jpg,"<iframe width=""100%"" height=""400"" scrolling=""no"" frameborder=""no"" allow=""autoplay; encrypted-media"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F1269406351&show_artwork=true""></iframe>",0
632,2022-05,2022-05-09,ERA,ERA 005: Rebūke Ravers Club Special,Rebūke,https://soundcloud.com/rebukemusic/era-005-rebuke-ravers-club-special,,https://i1.sndcdn.com/artworks-ztWqPAMACIvb9GcD-TCu92Q-t500x500.jpg,"<iframe width=""100%"" height=""400"" scrolling=""no"" frameborder=""no"" allow=""autoplay; encrypted-media"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F1264768933&show_artwork=true""></iframe>",14
633,2022-05,2022-05-02,ERA,ERA 004 Disfreq Studio Mix,Rebūke,https://soundcloud.com/rebukemusic/era-004-disfreq-studio-mix,,https://i1.sndcdn.com/artworks-Gyt6bnnlzldxZbqp-lRVNeA-t500x500.jpg,"<iframe width=""100%"" height=""400"" scrolling=""no"" frameborder=""no"" allow=""autoplay; encrypted-media"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F1261018963&show_artwork=true""></iframe>",0
625,2022-06,2022-06-27,ERA,"ERA 012 - Rebūke Live From The Brooklyn Mirage, New York",Rebūke,https://soundcloud.com/rebukemusic/era-012-rebuke-live-from-the-brooklyn-mirage-new-york,,https://i1.sndcdn.com/artworks-o3xhb8oTlz3x3sfU-dBQurg-t500x500.jpg,"<iframe width=""100%"" height=""400"" scrolling=""no"" frameborder=""no"" allow=""autoplay; encrypted-media"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F1295019433&show_artwork=true""></iframe>",0
626,2022-06,2022-06-20,ERA,ERA 011 - Wehbba Studio Mix,Rebūke,https://soundcloud.com/rebukemusic/era-011-wehbba-studio-mix,,https://i1.sndcdn.com/artworks-BW6e0BFeezlsUyNQ-gsQQuw-t500x500.jpg,"<iframe width=""100%"" height=""400"" scrolling=""no"" frameborder=""no"" allow=""autoplay; encrypted-media"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F1290760450&show_artwork=true""></iframe>",0
627,2022-06,2022-06-13,ERA,ERA 010 - Rebūke Studio Mix,Rebūke,https://soundcloud.com/rebukemusic/era-010-rebuke-studio-mix,,https://i1.sndcdn.com/artworks-u1r0xDXscqXY09uq-ItuUMw-t500x500.jpg,"<iframe width=""100%"" height=""400"" scrolling=""no"" frameborder=""no"" allow=""autoplay; encrypted-media"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F1286340751&show_artwork=true""></iframe>",11
628,2022-06,2022-06-06,ERA,"ERA 009 - Rebūke Live From Life Festival, Ireland",Rebūke,https://soundcloud.com/rebukemusic/era-009-rebuke-live-from-life-festival-ireland,"https://www.mixesdb.com/w/2022-05-29_-_Reb%C5%ABke_@_Life_Festival,_Belvedere_House_%26_Gardens,_Ireland_(ERA_009)",https://i1.sndcdn.com/artworks-dII99yQ2JXVZgQOm-4mi2JA-t500x500.jpg,"<iframe width=""100%"" height=""400"" scrolling=""no"" frameborder=""no"" allow=""autoplay; encrypted-media"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F1282014988&show_artwork=true""></iframe>",0
621,2022-07,2022-07-25,ERA,"ERA 016 - Rebūke Live From Trick @ DC10, Ibiza",Rebūke,https://soundcloud.com/rebukemusic/era-016-rebuke-live-from-trick-dc10-ibiza,,https://i1.sndcdn.com/artworks-2eTrxY2SQSTOLeSX-G6McFQ-t500x500.jpg,"<iframe width=""100%"" height=""400"" scrolling=""no"" frameborder=""no"" allow=""autoplay; encrypted-media"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F1311208081&show_artwork=true""></iframe>",0
622,2022-07,2022-07-18,ERA,ERA 015 - Loco & Jam Studio Mix,Rebūke,https://soundcloud.com/rebukemusic/era-015-loco-jam-studio-mix,,https://i1.sndcdn.com/artworks-l0azUM4jxtGANDx8-oUV4dg-t500x500.jpg,"<iframe width=""100%"" height=""400"" scrolling=""no"" frameborder=""no"" allow=""autoplay; encrypted-media"" src=""https://w.soundcloud.com/player/?visual=true&url=https%3A%2F%2Fapi.soundcloud.com%2Ftracks%2F1307383498&show_artwork=true""></iframe>",0
